model,seed,precision,recall,mAP50,mAP50_95
model6,123,0.29861837827923793,0.22287390029325513,0.19388437700801997,0.06215258042339374
model6,456,0.25468065622472164,0.19648093841642228,0.15433458111858744,0.04689402508644629
model10,123,0.25673201164431175,0.2785923753665689,0.17846188815568192,0.05687731445403608
model10,456,0.3477985589991619,0.17302052785923755,0.13117667537126826,0.04235721047227678
