candidate_id,kept_raw_detection_id,suppressed_raw_detection_id,suppressed_tile_name,suppressed_confidence,iou_with_kept_candidate
C0002,R2703,R2831,38SMB_01193_r6720_c4080,0.8985243439674377,0.9950771678010336
C0003,R2530,R2426,38SMB_01046_r5760_c9120,0.8974799513816833,0.7617598184529818
C0004,R2398,R2402,38SMB_01037_r5760_c6960,0.813651442527771,0.737113997924334
C0005,R4355,R4211,38SMB_01525_r8640_c3120,0.8723191022872925,0.8005034866980398
C0008,R0181,R0174,38SMB_00049_r240_c1680,0.8480603694915771,0.822699311662612
C0009,R2774,R2649,38SMB_01131_r6240_c9360,0.8834842443466187,0.9496113039877526
C0011,R2730,R2864,38SMB_01196_r6720_c4800,0.8744048476219177,0.9656445380169052
C0014,R2512,R2508,38SMB_01075_r6000_c6000,0.863120436668396,0.891244796645486
C0015,R4541,R4551,38SMB_01611_r9120_c3600,0.8607805967330933,0.9819648348548468
C0015,R4541,R4371,38SMB_01568_r8880_c3360,0.8466589450836182,0.9665963892889875
C0015,R4541,R4381,38SMB_01569_r8880_c3600,0.8346571326255798,0.9505052588963467
C0017,R1367,R1376,38SMB_00607_r3360_c4560,0.862953245639801,0.988461882999686
C0018,R3752,R3746,38SMB_01404_r7920_c4320,0.8519893884658813,0.9496731404014864
C0020,R2029,R2122,38SMB_00899_r5040_c4080,0.7952941060066223,0.927662406104513
C0021,R0568,R0569,38SMB_00298_r1680_c960,0.8587972521781921,0.9000761469933626
C0022,R2825,R2832,38SMB_01193_r6720_c4080,0.8460545539855957,0.8216134483991949
C0023,R3753,R3931,38SMB_01447_r8160_c4560,0.8489533066749573,0.9686922948970912
C0025,R0965,R0966,38SMB_00458_r2400_c9120,0.8563521504402161,0.9976322830790931
C0027,R3839,R3847,38SMB_01431_r8160_c720,0.8313207030296326,0.9010579721989347
C0032,R3824,R3832,38SMB_01427_r7920_c9680,0.8463134169578552,0.9995204395414499
C0032,R3824,R3646,38SMB_01385_r7680_c9680,0.8380546569824219,0.8458445285576855
C0032,R3824,R3635,38SMB_01384_r7680_c9600,0.83737713098526,0.8467179682704142
C0033,R2585,R2578,38SMB_01108_r6240_c3840,0.817696213722229,0.9431409677740369
C0035,R2050,R2152,38SMB_00904_r5040_c5280,0.8371185064315796,0.7970012898884483
C0039,R4714,R4701,38SMB_01652_r9360_c3360,0.79380863904953,0.9919317688237919
C0040,R3562,R3563,38SMB_01366_r7680_c5280,0.8385853171348572,0.9830392744192241
C0042,R2993,R2873,38SMB_01197_r6720_c5040,0.830814778804779,0.9675160987894578
C0042,R2993,R3003,38SMB_01240_r6960_c5280,0.6973286271095276,0.7218244574461357
C0042,R2993,R2880,38SMB_01198_r6720_c5280,0.6821339726448059,0.7217931439788914
C0044,R2366,R2374,38SMB_01028_r5760_c4800,0.7935792207717896,0.8404700464699135
C0048,R2030,R2121,38SMB_00899_r5040_c4080,0.8224930763244629,0.912166184273723
C0051,R1623,R1622,38SMB_00707_r3840_c8400,0.827133059501648,0.7780782276160754
C0052,R1558,R1566,38SMB_00687_r3840_c3600,0.8268098831176758,0.9831858229990739
C0053,R1929,R1919,38SMB_00813_r4560_c3600,0.8175356388092041,0.9725572866815863
C0053,R1929,R1836,38SMB_00772_r4320_c3840,0.8081680536270142,0.9422923392765647
C0053,R1929,R1822,38SMB_00771_r4320_c3600,0.7982598543167114,0.923565024247946
C0056,R1680,R1670,38SMB_00726_r4080_c2880,0.8257594108581543,0.9933012413656415
C0059,R0648,R0752,38SMB_00381_r2160_c720,0.8226633667945862,0.987427659354873
C0063,R2067,R1980,38SMB_00828_r4560_c7200,0.7254505157470703,0.7579606882426215
C0068,R4022,R3848,38SMB_01431_r8160_c720,0.7795091271400452,0.859301646022731
C0068,R4022,R4017,38SMB_01472_r8400_c480,0.7549769282341003,0.791385740570096
C0072,R1597,R1726,38SMB_00734_r4080_c4800,0.7760775089263916,0.8528462669120687
C0075,R4076,R4065,38SMB_01483_r8400_c3120,0.7622063159942627,0.7120363078673776
C0076,R3592,R3403,38SMB_01330_r7440_c6720,0.7675619721412659,0.9781137540813422
C0081,R1121,R1124,38SMB_00512_r2880_c1920,0.7729172110557556,0.9604961594144824
C0083,R2356,R2345,38SMB_01025_r5760_c4080,0.788716733455658,0.9566726236919624
C0084,R0168,R0155,38SMB_00047_r240_c1200,0.7862936854362488,0.9831194876645436
C0085,R4728,R4721,38SMB_01654_r9360_c3840,0.7844308614730835,0.8597375039707272
C0090,R2009,R2100,38SMB_00897_r5040_c3600,0.7337448000907898,0.8850199625147002
C0091,R2636,R2761,38SMB_01162_r6480_c6720,0.7810681462287903,0.9738829703806587
C0094,R1643,R1760,38SMB_00765_r4320_c2160,0.7467077970504761,0.7658048644691866
C0095,R3297,R3497,38SMB_01358_r7680_c3360,0.773071825504303,0.9737084980020939
C0096,R3310,R3117,38SMB_01275_r7200_c3600,0.7768096923828125,0.9580229010268895
C0097,R3433,R3442,38SMB_01343_r7440_c9680,0.7813627123832703,0.9986804827541035
C0101,R0795,R0903,38SMB_00430_r2400_c2400,0.7650193572044373,0.9843226915195401
C0102,R1450,R1573,38SMB_00688_r3840_c3840,0.7680712938308716,0.965854289842716
C0103,R2865,R2731,38SMB_01154_r6480_c4800,0.728175163269043,0.9436679029095186
C0104,R2010,R2099,38SMB_00897_r5040_c3600,0.7756668925285339,0.9831160068171999
C0106,R0655,R0649,38SMB_00339_r1920_c720,0.7639726996421814,0.9397305574964233
C0108,R2430,R2532,38SMB_01089_r6000_c9360,0.6943908333778381,0.7875719719836721
C0109,R3701,R3707,38SMB_01400_r7920_c3360,0.7024297118186951,0.8458854729937465
C0111,R3463,R3673,38SMB_01393_r7920_c1680,0.7625225186347961,0.9852820367335066
C0115,R3337,R3344,38SMB_01321_r7440_c4560,0.7351513504981995,0.9659265106980803
