polygon_id,area_m2,tile_instances,matched_instances,detected,maximum_matched_confidence,maximum_matched_iou,size_class
1,158984.98802276546,4,0,False,,,large
9,285990.7012423583,1,1,True,0.6040478944778442,0.5343418602894326,large
15,154672.81207917415,1,1,True,0.5758591890335083,0.6030847974970255,large
25,75811.68140294723,2,0,False,,,medium
28,258904.47380811558,2,2,True,0.574560284614563,0.6720116003547528,large
36,180686.0747851961,2,2,True,0.1836832761764526,0.7665259072829144,large
45,462828.46938728925,2,2,True,0.3151344358921051,0.5497987418189628,large
52,164609.09746302784,2,2,True,0.5091860294342041,0.7224050033903103,large
57,688982.0371459043,2,2,True,0.6543945074081421,0.835729991441246,large
65,115505.15619285524,2,2,True,0.8037102222442627,0.6026057133566629,medium
75,362676.7956643386,1,0,False,,,large
83,167750.78068400163,1,1,True,0.660781979560852,0.5074692112853996,large
121,112988.0677543575,1,1,True,0.6478375196456909,0.6804562143444991,medium
153,825506.5206408117,2,2,True,0.3697007596492767,0.6561554213735715,large
154,118714.99559242856,2,2,True,0.6468048691749573,0.5566814854630631,medium
157,235634.61412296104,1,1,True,0.4487317204475403,0.6115247348980795,large
161,378962.9393933383,1,1,True,0.5433167219161987,0.6813415671526439,large
164,253466.60004394653,3,3,True,0.2754743099212646,0.7685970639323585,large
165,277032.28867497586,2,2,True,0.4313172399997711,0.7185524016043043,large
178,314581.149539794,2,2,True,0.5377998948097229,0.6712285997632217,large
185,814522.1075787101,1,1,True,0.1063679531216621,0.6492983053442082,large
188,54302.60715931128,4,0,False,,,medium
197,252328.4913032842,2,1,True,0.2695658802986145,0.6129118663568629,large
221,135679.914716891,1,1,True,0.6382808089256287,0.5141130798278121,large
241,146876.7347724074,2,2,True,0.5573965311050415,0.6316608651232057,large
247,56749.863475148246,1,0,False,,,medium
256,157716.58508544555,1,1,True,0.1097353026270866,0.644851311100544,large
261,278170.37251069164,1,1,True,0.3762027025222778,0.5179271131076167,large
271,1449322.7845833001,2,2,True,0.3925748169422149,0.6654701042748877,large
284,262798.5555225446,2,2,True,0.5705722570419312,0.7274070718764991,large
300,180765.61953716635,2,2,True,0.4520561099052429,0.5604156055961804,large
304,107189.81990915786,2,2,True,0.6431871652603149,0.7190369557471277,medium
306,229178.56527652728,2,2,True,0.5812237858772278,0.7401693706961943,large
328,234116.9108587731,1,1,True,0.497427761554718,0.6604917872481526,large
356,67740.18582186656,2,0,False,,,medium
362,18021.49553318887,2,0,False,,,medium
384,52838.628208722585,2,0,False,,,medium
386,9921.420759598685,1,0,False,,,small
388,123606.40223094838,2,2,True,0.4168066084384918,0.6841770725914358,medium
396,168203.10553916977,2,0,False,,,large
399,13561.923988925619,1,0,False,,,small
409,46482.11995547833,1,0,False,,,medium
414,81976.94386879592,2,0,False,,,medium
474,78214.14784459214,1,0,False,,,medium
487,14527.09036962823,1,0,False,,,small
490,22199.523787486658,1,0,False,,,medium
494,62344.964058206126,1,0,False,,,medium
496,26529.576794551198,1,0,False,,,medium
507,64803.85131190704,2,1,True,0.1170974969863891,0.5354281652498161,medium
513,60473.644766463454,2,0,False,,,medium
526,96095.26191006697,1,0,False,,,medium
527,13615.193496924976,1,0,False,,,small
534,122733.54669005542,2,2,True,0.5820699334144592,0.6300036342515989,medium
542,9481.965495626553,2,0,False,,,small
548,11369.273596435154,1,0,False,,,small
549,14096.085042464936,1,0,False,,,small
550,33928.61806307524,2,0,False,,,medium
552,4809.016994377382,2,0,False,,,small
557,49628.02272572987,1,0,False,,,medium
575,86987.32949098638,2,0,False,,,medium
592,146236.54469368432,1,0,False,,,large
609,32303.363352227047,1,0,False,,,medium
613,60193.21120571655,1,0,False,,,medium
616,160493.00407867227,2,0,False,,,large
626,92996.3902125538,1,0,False,,,medium
632,50060.70338776474,1,0,False,,,medium
637,12543.509956889877,1,0,False,,,small
642,5509.016994377382,2,0,False,,,small
646,70288.58847163118,2,0,False,,,medium
653,5509.016994377382,2,0,False,,,small
664,85730.83836167824,1,0,False,,,medium
667,51092.25504954303,2,0,False,,,medium
669,211492.11326959476,1,1,True,0.1400040835142135,0.614879055693626,large
688,120514.27210513178,2,0,False,,,medium
692,354238.0185711269,2,2,True,0.2431583255529403,0.6158990474828356,large
704,4809.016994377382,4,0,False,,,small
715,36169.32104806138,2,0,False,,,medium
725,127486.96923299354,2,0,False,,,medium
729,11671.72936705498,2,0,False,,,small
759,113685.57999551148,2,2,True,0.2961120009422302,0.5953427931465552,medium
770,6223.106125343956,1,0,False,,,small
779,157108.19841968382,3,3,True,0.3967313766479492,0.6735263179598977,large
798,186136.85268261522,4,4,True,0.189646378159523,0.7615616012535462,large
799,48000.99896529167,1,0,False,,,medium
803,113037.4722086421,2,1,True,0.1896665245294571,0.636418452290422,medium
809,100803.50005308313,1,0,False,,,medium
812,153470.31083929213,1,1,True,0.2521733939647674,0.7885361572506959,large
817,112551.18261730163,1,0,False,,,medium
819,221643.11042353124,1,0,False,,,large
824,33287.39265307557,2,1,True,0.1444543153047561,0.6347762177026177,medium
843,8043.315808462221,4,0,False,,,small
844,7566.061559860668,1,0,False,,,small
846,71573.2023466036,1,1,True,0.2908536791801452,0.6518013747523601,medium
