split,images,labels,missing_labels,missing_images,assigned_tells,covered_tells,missing_tells,invalid_label_lines
train,1196,1196,0,0,949,949,0,0
val,230,230,0,0,197,197,0,0
test,690,690,0,0,201,201,0,0
