tile_name,ground_truth_boxes,predicted_boxes,true_positives,false_positives,false_negatives,maximum_true_positive_confidence,maximum_false_positive_confidence
test_0097_r1440_c9033,0,0,0,0,0,0.0,0.0
test_0098_r1440_c9273,0,0,0,0,0,0.0,0.0
test_0099_r1440_c9513,0,0,0,0,0,0.0,0.0
test_0100_r1440_c9753,0,0,0,0,0,0.0,0.0
test_0101_r1440_c9993,0,0,0,0,0,0.0,0.0
test_0102_r1440_c10233,0,0,0,0,0,0.0,0.0
test_0103_r1440_c10473,0,0,0,0,0,0.0,0.0
test_0104_r1440_c10662,0,0,0,0,0,0.0,0.0
test_0105_r1680_c7353,0,0,0,0,0,0.0,0.0
test_0106_r1680_c7593,0,0,0,0,0,0.0,0.0
test_0107_r1680_c7833,0,0,0,0,0,0.0,0.0
test_0108_r1680_c8073,0,0,0,0,0,0.0,0.0
test_0109_r1680_c8313,0,0,0,0,0,0.0,0.0
test_0110_r1680_c8553,0,0,0,0,0,0.0,0.0
test_0111_r1680_c8793,0,0,0,0,0,0.0,0.0
test_0112_r1680_c9033,0,0,0,0,0,0.0,0.0
test_0113_r1680_c9273,0,0,0,0,0,0.0,0.0
test_0114_r1680_c9513,0,0,0,0,0,0.0,0.0
test_0115_r1680_c9753,0,0,0,0,0,0.0,0.0
test_0116_r1680_c9993,0,0,0,0,0,0.0,0.0
test_0117_r1680_c10233,0,0,0,0,0,0.0,0.0
test_0118_r1680_c10473,0,0,0,0,0,0.0,0.0
test_0119_r1680_c10662,0,0,0,0,0,0.0,0.0
test_0120_r1920_c7353,0,0,0,0,0,0.0,0.0
test_0121_r1920_c7593,0,0,0,0,0,0.0,0.0
test_0122_r1920_c7833,0,0,0,0,0,0.0,0.0
test_0123_r1920_c8073,0,0,0,0,0,0.0,0.0
test_0124_r1920_c8313,0,2,0,2,0,0.0,0.17208349704742432
test_0125_r1920_c8553,0,0,0,0,0,0.0,0.0
test_0126_r1920_c8793,0,0,0,0,0,0.0,0.0
test_0127_r1920_c9033,0,0,0,0,0,0.0,0.0
test_0128_r1920_c9273,0,0,0,0,0,0.0,0.0
test_0129_r1920_c9513,0,0,0,0,0,0.0,0.0
test_0130_r1920_c9753,0,0,0,0,0,0.0,0.0
test_0131_r1920_c9993,0,0,0,0,0,0.0,0.0
test_0132_r1920_c10233,0,0,0,0,0,0.0,0.0
test_0133_r1920_c10473,0,0,0,0,0,0.0,0.0
test_0134_r1920_c10662,0,0,0,0,0,0.0,0.0
test_0135_r2160_c7353,2,0,0,0,2,0.0,0.0
test_0136_r2160_c7593,1,0,0,0,1,0.0,0.0
test_0137_r2160_c7833,0,0,0,0,0,0.0,0.0
test_0138_r2160_c8073,0,0,0,0,0,0.0,0.0
test_0139_r2160_c8313,0,0,0,0,0,0.0,0.0
test_0140_r2160_c8553,0,0,0,0,0,0.0,0.0
test_0141_r2160_c8793,0,0,0,0,0,0.0,0.0
test_0142_r2160_c9033,0,0,0,0,0,0.0,0.0
test_0143_r2160_c9273,0,0,0,0,0,0.0,0.0
test_0144_r2160_c9513,0,0,0,0,0,0.0,0.0
test_0145_r2160_c9753,0,0,0,0,0,0.0,0.0
test_0146_r2160_c9993,0,0,0,0,0,0.0,0.0
test_0147_r2160_c10233,0,0,0,0,0,0.0,0.0
test_0148_r2160_c10473,0,0,0,0,0,0.0,0.0
test_0149_r2160_c10662,0,0,0,0,0,0.0,0.0
test_0150_r2400_c7353,2,1,0,1,2,0.0,0.1193942055106163
test_0151_r2400_c7593,1,0,0,0,1,0.0,0.0
test_0152_r2400_c7833,0,0,0,0,0,0.0,0.0
test_0153_r2400_c8073,0,0,0,0,0,0.0,0.0
test_0154_r2400_c8313,0,0,0,0,0,0.0,0.0
test_0155_r2400_c8553,0,0,0,0,0,0.0,0.0
test_0156_r2400_c8793,0,0,0,0,0,0.0,0.0
test_0157_r2400_c9033,0,0,0,0,0,0.0,0.0
test_0158_r2400_c9273,0,0,0,0,0,0.0,0.0
test_0159_r2400_c9513,0,0,0,0,0,0.0,0.0
test_0160_r2400_c9753,0,0,0,0,0,0.0,0.0
test_0161_r2400_c9993,0,0,0,0,0,0.0,0.0
test_0162_r2400_c10233,1,0,0,0,1,0.0,0.0
test_0163_r2400_c10473,1,1,1,0,0,0.10196240991353989,0.0
test_0164_r2400_c10662,0,0,0,0,0,0.0,0.0
test_0165_r2640_c7353,0,0,0,0,0,0.0,0.0
test_0166_r2640_c7593,0,0,0,0,0,0.0,0.0
test_0167_r2640_c7833,0,0,0,0,0,0.0,0.0
test_0168_r2640_c8073,0,0,0,0,0,0.0,0.0
test_0169_r2640_c8313,0,0,0,0,0,0.0,0.0
test_0170_r2640_c8553,0,0,0,0,0,0.0,0.0
test_0171_r2640_c8793,0,0,0,0,0,0.0,0.0
test_0172_r2640_c9033,0,0,0,0,0,0.0,0.0
test_0173_r2640_c9273,0,0,0,0,0,0.0,0.0
test_0174_r2640_c9513,0,0,0,0,0,0.0,0.0
test_0175_r2640_c9753,0,0,0,0,0,0.0,0.0
test_0176_r2640_c9993,0,0,0,0,0,0.0,0.0
test_0177_r2640_c10233,0,0,0,0,0,0.0,0.0
test_0178_r2640_c10473,0,0,0,0,0,0.0,0.0
test_0179_r2640_c10662,0,0,0,0,0,0.0,0.0
test_0180_r2880_c7353,0,0,0,0,0,0.0,0.0
test_0181_r2880_c7593,0,0,0,0,0,0.0,0.0
test_0182_r2880_c7833,1,0,0,0,1,0.0,0.0
test_0183_r2880_c8073,0,0,0,0,0,0.0,0.0
test_0184_r2880_c8313,0,0,0,0,0,0.0,0.0
test_0185_r2880_c8553,0,0,0,0,0,0.0,0.0
test_0186_r2880_c8793,0,3,0,3,0,0.0,0.1652534157037735
test_0187_r2880_c9033,0,3,0,3,0,0.0,0.2409239560365677
test_0188_r2880_c9273,0,0,0,0,0,0.0,0.0
test_0189_r2880_c9513,0,0,0,0,0,0.0,0.0
test_0190_r2880_c9753,0,0,0,0,0,0.0,0.0
test_0191_r2880_c9993,0,0,0,0,0,0.0,0.0
test_0192_r2880_c10233,0,0,0,0,0,0.0,0.0
test_0193_r2880_c10473,0,0,0,0,0,0.0,0.0
test_0194_r2880_c10662,0,0,0,0,0,0.0,0.0
test_0195_r3120_c7353,0,0,0,0,0,0.0,0.0
test_0196_r3120_c7593,0,0,0,0,0,0.0,0.0
test_0197_r3120_c7833,3,1,1,0,2,0.14445431530475616,0.0
test_0198_r3120_c8073,0,3,0,3,0,0.0,0.22845053672790527
test_0199_r3120_c8313,0,0,0,0,0,0.0,0.0
test_0200_r3120_c8553,0,0,0,0,0,0.0,0.0
test_0201_r3120_c8793,0,3,0,3,0,0.0,0.19283485412597656
test_0202_r3120_c9033,0,3,0,3,0,0.0,0.2843128740787506
test_0203_r3120_c9273,1,0,0,0,1,0.0,0.0
test_0204_r3120_c9513,2,0,0,0,2,0.0,0.0
test_0205_r3120_c9753,0,0,0,0,0,0.0,0.0
test_0206_r3120_c9993,0,0,0,0,0,0.0,0.0
test_0207_r3120_c10233,0,0,0,0,0,0.0,0.0
test_0208_r3120_c10473,0,0,0,0,0,0.0,0.0
test_0209_r3120_c10662,0,0,0,0,0,0.0,0.0
test_0210_r3360_c7353,0,0,0,0,0,0.0,0.0
test_0211_r3360_c7593,0,0,0,0,0,0.0,0.0
test_0212_r3360_c7833,0,0,0,0,0,0.0,0.0
test_0213_r3360_c8073,0,0,0,0,0,0.0,0.0
test_0214_r3360_c8313,0,0,0,0,0,0.0,0.0
test_0215_r3360_c8553,0,1,0,1,0,0.0,0.12654374539852142
test_0216_r3360_c8793,0,0,0,0,0,0.0,0.0
test_0217_r3360_c9033,0,0,0,0,0,0.0,0.0
test_0218_r3360_c9273,0,2,0,2,0,0.0,0.5067560076713562
test_0219_r3360_c9513,1,1,0,1,1,0.0,0.5054154992103577
test_0220_r3360_c9753,0,0,0,0,0,0.0,0.0
test_0221_r3360_c9993,0,0,0,0,0,0.0,0.0
test_0222_r3360_c10233,0,0,0,0,0,0.0,0.0
test_0223_r3360_c10473,0,0,0,0,0,0.0,0.0
test_0224_r3360_c10662,0,0,0,0,0,0.0,0.0
test_0225_r3600_c7353,3,2,0,2,3,0.0,0.6885191202163696
test_0226_r3600_c7593,1,1,0,1,1,0.0,0.10831373929977417
test_0227_r3600_c7833,1,0,0,0,1,0.0,0.0
test_0228_r3600_c8073,1,0,0,0,1,0.0,0.0
test_0229_r3600_c8313,0,0,0,0,0,0.0,0.0
test_0230_r3600_c8553,0,1,0,1,0,0.0,0.13904517889022827
test_0231_r3600_c8793,0,1,0,1,0,0.0,0.10519512742757797
test_0232_r3600_c9033,0,0,0,0,0,0.0,0.0
test_0233_r3600_c9273,0,3,0,3,0,0.0,0.3232837915420532
test_0234_r3600_c9513,0,2,0,2,0,0.0,0.3809319734573364
test_0235_r3600_c9753,0,0,0,0,0,0.0,0.0
test_0236_r3600_c9993,0,0,0,0,0,0.0,0.0
test_0237_r3600_c10233,0,0,0,0,0,0.0,0.0
test_0238_r3600_c10473,0,0,0,0,0,0.0,0.0
test_0239_r3600_c10662,0,0,0,0,0,0.0,0.0
test_0240_r3840_c7353,2,1,0,1,2,0.0,0.15739962458610535
test_0241_r3840_c7593,1,1,0,1,1,0.0,0.10674227029085159
test_0242_r3840_c7833,0,0,0,0,0,0.0,0.0
test_0243_r3840_c8073,0,0,0,0,0,0.0,0.0
test_0244_r3840_c8313,0,0,0,0,0,0.0,0.0
test_0245_r3840_c8553,0,0,0,0,0,0.0,0.0
test_0246_r3840_c8793,0,0,0,0,0,0.0,0.0
test_0247_r3840_c9033,0,0,0,0,0,0.0,0.0
test_0248_r3840_c9273,0,0,0,0,0,0.0,0.0
test_0249_r3840_c9513,0,5,0,5,0,0.0,0.4381024241447449
test_0250_r3840_c9753,2,6,1,5,1,0.2374720275402069,0.4557448923587799
test_0251_r3840_c9993,2,3,2,1,0,0.3150482177734375,0.10707512497901917
test_0252_r3840_c10233,0,0,0,0,0,0.0,0.0
test_0253_r3840_c10473,0,0,0,0,0,0.0,0.0
test_0254_r3840_c10662,0,0,0,0,0,0.0,0.0
test_0255_r4080_c7353,3,0,0,0,3,0.0,0.0
test_0256_r4080_c7593,2,1,1,0,1,0.6878061294555664,0.0
test_0257_r4080_c7833,0,0,0,0,0,0.0,0.0
test_0258_r4080_c8073,0,0,0,0,0,0.0,0.0
test_0259_r4080_c8313,0,0,0,0,0,0.0,0.0
test_0260_r4080_c8553,0,0,0,0,0,0.0,0.0
test_0261_r4080_c8793,0,0,0,0,0,0.0,0.0
test_0262_r4080_c9033,0,0,0,0,0,0.0,0.0
test_0263_r4080_c9273,0,0,0,0,0,0.0,0.0
test_0264_r4080_c9513,0,2,0,2,0,0.0,0.13448983430862427
test_0265_r4080_c9753,0,1,0,1,0,0.0,0.16429486870765686
test_0266_r4080_c9993,0,0,0,0,0,0.0,0.0
test_0267_r4080_c10233,0,0,0,0,0,0.0,0.0
test_0268_r4080_c10473,0,0,0,0,0,0.0,0.0
