rank,tile_name,max_confidence,row_start,col_start,review_image
26,candidate_0297_r6449_c2933,0.1884151846170425,6449,2933,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/26_conf_0.188_candidate_0297_r6449_c2933.png
27,candidate_0370_r7172_c5248,0.1882424354553222,7172,5248,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/27_conf_0.188_candidate_0370_r7172_c5248.png
28,candidate_0277_r2728_c1188,0.18790864944458,2728,1188,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/28_conf_0.188_candidate_0277_r2728_c1188.png
29,candidate_0022_r10305_c5282,0.1875206679105758,10305,5282,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/29_conf_0.188_candidate_0022_r10305_c5282.png
30,candidate_0124_r10039_c5535,0.1871902793645858,10039,5535,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/30_conf_0.187_candidate_0124_r10039_c5535.png
31,candidate_0116_r6295_c2870,0.1864618062973022,6295,2870,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/31_conf_0.186_candidate_0116_r6295_c2870.png
32,candidate_0004_r2569_c1199,0.1853809654712677,2569,1199,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/32_conf_0.185_candidate_0004_r2569_c1199.png
33,candidate_0190_r100_c5156,0.1842014044523239,100,5156,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/33_conf_0.184_candidate_0190_r100_c5156.png
34,candidate_0011_r4540_c1506,0.1827828884124755,4540,1506,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/34_conf_0.183_candidate_0011_r4540_c1506.png
35,candidate_0223_r4167_c1414,0.175896942615509,4167,1414,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/35_conf_0.176_candidate_0223_r4167_c1414.png
36,candidate_0046_r4399_c3220,0.1729470491409301,4399,3220,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/36_conf_0.173_candidate_0046_r4399_c3220.png
37,candidate_0239_r43_c5248,0.1683296710252761,43,5248,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/37_conf_0.168_candidate_0239_r43_c5248.png
38,candidate_0272_r4_c5538,0.1661970466375351,4,5538,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/38_conf_0.166_candidate_0272_r4_c5538.png
39,candidate_0399_r8743_c1678,0.1659765988588333,8743,1678,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/39_conf_0.166_candidate_0399_r8743_c1678.png
40,candidate_0287_r10467_c715,0.1625162810087204,10467,715,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/40_conf_0.163_candidate_0287_r10467_c715.png
41,candidate_0205_r9542_c52,0.1605318784713745,9542,52,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/41_conf_0.161_candidate_0205_r9542_c52.png
42,candidate_0180_r3616_c3587,0.1594037562608719,3616,3587,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/42_conf_0.159_candidate_0180_r3616_c3587.png
43,candidate_0216_r5227_c1976,0.158827468752861,5227,1976,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/43_conf_0.159_candidate_0216_r5227_c1976.png
44,candidate_0214_r10270_c998,0.156931459903717,10270,998,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/44_conf_0.157_candidate_0214_r10270_c998.png
45,candidate_0117_r6500_c3014,0.1536322236061096,6500,3014,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/45_conf_0.154_candidate_0117_r6500_c3014.png
46,candidate_0397_r10297_c5209,0.1532495617866516,10297,5209,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/46_conf_0.153_candidate_0397_r10297_c5209.png
47,candidate_0203_r9787_c5295,0.1517191082239151,9787,5295,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/47_conf_0.152_candidate_0203_r9787_c5295.png
48,candidate_0045_r6102_c5223,0.1484008133411407,6102,5223,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/48_conf_0.148_candidate_0045_r6102_c5223.png
49,candidate_0212_r10373_c843,0.1482301652431488,10373,843,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/49_conf_0.148_candidate_0212_r10373_c843.png
50,candidate_0240_r5240_c1499,0.1474494636058807,5240,1499,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/50_conf_0.147_candidate_0240_r5240_c1499.png
