split,images,labels,missing_labels,missing_images,assigned_tells,covered_tells,missing_tells,invalid_label_lines
train,482,482,0,0,867,867,0,0
val,115,115,0,0,179,179,0,0
test,284,284,0,0,185,185,0,0
