band,known_sites,detected,recall,candidates_produced,mean_slope_degrees
west,193,105,0.5440414507772021,1602,0.3235125823826627
centre,501,254,0.5069860279441117,1709,0.2568067124163441
east,551,170,0.308529945553539,577,0.1255462218235536
