tile_name,ground_truth_boxes,predicted_boxes,true_positives,false_positives,false_negatives,maximum_true_positive_confidence,maximum_false_positive_confidence
test_0103_r960_c8890,0,0,0,0,0,0.0,0.0
test_0104_r960_c9082,0,0,0,0,0,0.0,0.0
test_0105_r960_c9274,2,0,0,0,2,0.0,0.0
test_0106_r960_c9466,1,0,0,0,1,0.0,0.0
test_0107_r960_c9658,0,0,0,0,0,0.0,0.0
test_0108_r960_c9850,0,0,0,0,0,0.0,0.0
test_0109_r960_c10042,0,0,0,0,0,0.0,0.0
test_0110_r960_c10234,0,0,0,0,0,0.0,0.0
test_0111_r960_c10426,0,0,0,0,0,0.0,0.0
test_0112_r960_c10618,0,0,0,0,0,0.0,0.0
test_0113_r960_c10726,0,0,0,0,0,0.0,0.0
test_0114_r1152_c7354,0,0,0,0,0,0.0,0.0
test_0115_r1152_c7546,0,0,0,0,0,0.0,0.0
test_0116_r1152_c7738,1,0,0,0,1,0.0,0.0
test_0117_r1152_c7930,1,0,0,0,1,0.0,0.0
test_0118_r1152_c8122,0,0,0,0,0,0.0,0.0
test_0119_r1152_c8314,0,0,0,0,0,0.0,0.0
test_0120_r1152_c8506,0,0,0,0,0,0.0,0.0
test_0121_r1152_c8698,0,0,0,0,0,0.0,0.0
test_0122_r1152_c8890,0,0,0,0,0,0.0,0.0
test_0123_r1152_c9082,0,0,0,0,0,0.0,0.0
test_0124_r1152_c9274,2,0,0,0,2,0.0,0.0
test_0125_r1152_c9466,1,0,0,0,1,0.0,0.0
test_0126_r1152_c9658,0,0,0,0,0,0.0,0.0
test_0127_r1152_c9850,0,0,0,0,0,0.0,0.0
test_0128_r1152_c10042,0,0,0,0,0,0.0,0.0
test_0129_r1152_c10234,0,0,0,0,0,0.0,0.0
test_0130_r1152_c10426,0,0,0,0,0,0.0,0.0
test_0131_r1152_c10618,0,0,0,0,0,0.0,0.0
test_0132_r1152_c10726,0,0,0,0,0,0.0,0.0
test_0133_r1344_c7354,1,0,0,0,1,0.0,0.0
test_0134_r1344_c7546,0,0,0,0,0,0.0,0.0
test_0135_r1344_c7738,1,0,0,0,1,0.0,0.0
test_0136_r1344_c7930,1,0,0,0,1,0.0,0.0
test_0137_r1344_c8122,0,0,0,0,0,0.0,0.0
test_0138_r1344_c8314,0,0,0,0,0,0.0,0.0
test_0139_r1344_c8506,0,0,0,0,0,0.0,0.0
test_0140_r1344_c8698,0,0,0,0,0,0.0,0.0
test_0141_r1344_c8890,0,0,0,0,0,0.0,0.0
test_0142_r1344_c9082,0,0,0,0,0,0.0,0.0
test_0143_r1344_c9274,0,0,0,0,0,0.0,0.0
test_0144_r1344_c9466,0,0,0,0,0,0.0,0.0
test_0145_r1344_c9658,0,0,0,0,0,0.0,0.0
test_0146_r1344_c9850,0,0,0,0,0,0.0,0.0
test_0147_r1344_c10042,0,0,0,0,0,0.0,0.0
test_0148_r1344_c10234,0,0,0,0,0,0.0,0.0
test_0149_r1344_c10426,0,0,0,0,0,0.0,0.0
test_0150_r1344_c10618,0,0,0,0,0,0.0,0.0
test_0151_r1344_c10726,0,0,0,0,0,0.0,0.0
test_0152_r1536_c7354,1,0,0,0,1,0.0,0.0
test_0153_r1536_c7546,0,0,0,0,0,0.0,0.0
test_0154_r1536_c7738,0,0,0,0,0,0.0,0.0
test_0155_r1536_c7930,0,0,0,0,0,0.0,0.0
test_0156_r1536_c8122,0,0,0,0,0,0.0,0.0
test_0157_r1536_c8314,0,0,0,0,0,0.0,0.0
test_0158_r1536_c8506,0,0,0,0,0,0.0,0.0
test_0159_r1536_c8698,0,0,0,0,0,0.0,0.0
test_0160_r1536_c8890,0,0,0,0,0,0.0,0.0
test_0161_r1536_c9082,0,0,0,0,0,0.0,0.0
test_0162_r1536_c9274,0,0,0,0,0,0.0,0.0
test_0163_r1536_c9466,0,0,0,0,0,0.0,0.0
test_0164_r1536_c9658,0,0,0,0,0,0.0,0.0
test_0165_r1536_c9850,0,0,0,0,0,0.0,0.0
test_0166_r1536_c10042,0,0,0,0,0,0.0,0.0
test_0167_r1536_c10234,0,0,0,0,0,0.0,0.0
test_0168_r1536_c10426,0,0,0,0,0,0.0,0.0
test_0169_r1536_c10618,0,0,0,0,0,0.0,0.0
test_0170_r1536_c10726,0,0,0,0,0,0.0,0.0
test_0171_r1728_c7354,0,0,0,0,0,0.0,0.0
test_0172_r1728_c7546,0,0,0,0,0,0.0,0.0
test_0173_r1728_c7738,0,0,0,0,0,0.0,0.0
test_0174_r1728_c7930,0,0,0,0,0,0.0,0.0
test_0175_r1728_c8122,0,0,0,0,0,0.0,0.0
test_0176_r1728_c8314,0,0,0,0,0,0.0,0.0
test_0177_r1728_c8506,0,0,0,0,0,0.0,0.0
test_0178_r1728_c8698,0,0,0,0,0,0.0,0.0
test_0179_r1728_c8890,0,0,0,0,0,0.0,0.0
test_0180_r1728_c9082,0,0,0,0,0,0.0,0.0
test_0181_r1728_c9274,0,0,0,0,0,0.0,0.0
test_0182_r1728_c9466,0,0,0,0,0,0.0,0.0
test_0183_r1728_c9658,0,0,0,0,0,0.0,0.0
test_0184_r1728_c9850,0,0,0,0,0,0.0,0.0
test_0185_r1728_c10042,0,0,0,0,0,0.0,0.0
test_0186_r1728_c10234,0,0,0,0,0,0.0,0.0
test_0187_r1728_c10426,0,0,0,0,0,0.0,0.0
test_0188_r1728_c10618,0,0,0,0,0,0.0,0.0
test_0189_r1728_c10726,0,0,0,0,0,0.0,0.0
test_0190_r1920_c7354,0,0,0,0,0,0.0,0.0
test_0191_r1920_c7546,0,0,0,0,0,0.0,0.0
test_0192_r1920_c7738,0,0,0,0,0,0.0,0.0
test_0193_r1920_c7930,0,0,0,0,0,0.0,0.0
test_0194_r1920_c8122,0,0,0,0,0,0.0,0.0
test_0195_r1920_c8314,0,0,0,0,0,0.0,0.0
test_0196_r1920_c8506,0,0,0,0,0,0.0,0.0
test_0197_r1920_c8698,0,0,0,0,0,0.0,0.0
test_0198_r1920_c8890,0,2,0,2,0,0.0,0.16498082876205444
test_0199_r1920_c9082,0,2,0,2,0,0.0,0.18469642102718353
test_0200_r1920_c9274,0,0,0,0,0,0.0,0.0
test_0201_r1920_c9466,0,0,0,0,0,0.0,0.0
test_0202_r1920_c9658,0,0,0,0,0,0.0,0.0
test_0203_r1920_c9850,0,0,0,0,0,0.0,0.0
test_0204_r1920_c10042,0,0,0,0,0,0.0,0.0
test_0205_r1920_c10234,0,0,0,0,0,0.0,0.0
test_0206_r1920_c10426,0,0,0,0,0,0.0,0.0
test_0207_r1920_c10618,0,0,0,0,0,0.0,0.0
test_0208_r1920_c10726,0,0,0,0,0,0.0,0.0
test_0209_r2112_c7354,0,0,0,0,0,0.0,0.0
test_0210_r2112_c7546,1,0,0,0,1,0.0,0.0
test_0211_r2112_c7738,0,0,0,0,0,0.0,0.0
test_0212_r2112_c7930,0,0,0,0,0,0.0,0.0
test_0213_r2112_c8122,0,0,0,0,0,0.0,0.0
test_0214_r2112_c8314,0,0,0,0,0,0.0,0.0
test_0215_r2112_c8506,0,0,0,0,0,0.0,0.0
test_0216_r2112_c8698,0,0,0,0,0,0.0,0.0
test_0217_r2112_c8890,0,0,0,0,0,0.0,0.0
test_0218_r2112_c9082,0,0,0,0,0,0.0,0.0
test_0219_r2112_c9274,0,0,0,0,0,0.0,0.0
test_0220_r2112_c9466,0,0,0,0,0,0.0,0.0
test_0221_r2112_c9658,0,0,0,0,0,0.0,0.0
test_0222_r2112_c9850,0,0,0,0,0,0.0,0.0
test_0223_r2112_c10042,0,0,0,0,0,0.0,0.0
test_0224_r2112_c10234,0,0,0,0,0,0.0,0.0
test_0225_r2112_c10426,0,0,0,0,0,0.0,0.0
test_0226_r2112_c10618,0,0,0,0,0,0.0,0.0
test_0227_r2112_c10726,0,0,0,0,0,0.0,0.0
test_0228_r2304_c7354,1,0,0,0,1,0.0,0.0
test_0229_r2304_c7546,1,0,0,0,1,0.0,0.0
test_0230_r2304_c7738,0,0,0,0,0,0.0,0.0
test_0231_r2304_c7930,0,0,0,0,0,0.0,0.0
test_0232_r2304_c8122,0,0,0,0,0,0.0,0.0
test_0233_r2304_c8314,0,0,0,0,0,0.0,0.0
test_0234_r2304_c8506,0,0,0,0,0,0.0,0.0
test_0235_r2304_c8698,0,0,0,0,0,0.0,0.0
test_0236_r2304_c8890,0,0,0,0,0,0.0,0.0
test_0237_r2304_c9082,0,0,0,0,0,0.0,0.0
test_0238_r2304_c9274,0,0,0,0,0,0.0,0.0
test_0239_r2304_c9466,0,0,0,0,0,0.0,0.0
test_0240_r2304_c9658,0,0,0,0,0,0.0,0.0
test_0241_r2304_c9850,0,0,0,0,0,0.0,0.0
test_0242_r2304_c10042,0,0,0,0,0,0.0,0.0
test_0243_r2304_c10234,1,0,0,0,1,0.0,0.0
test_0244_r2304_c10426,0,0,0,0,0,0.0,0.0
test_0245_r2304_c10618,0,0,0,0,0,0.0,0.0
test_0246_r2304_c10726,0,0,0,0,0,0.0,0.0
test_0247_r2496_c7354,0,0,0,0,0,0.0,0.0
test_0248_r2496_c7546,0,0,0,0,0,0.0,0.0
test_0249_r2496_c7738,0,0,0,0,0,0.0,0.0
test_0250_r2496_c7930,0,0,0,0,0,0.0,0.0
test_0251_r2496_c8122,0,0,0,0,0,0.0,0.0
test_0252_r2496_c8314,0,0,0,0,0,0.0,0.0
test_0253_r2496_c8506,0,0,0,0,0,0.0,0.0
