size_group,labelled_instances,detected_instances,mean_width_pixels,mean_height_pixels,mean_area_pixels,recall
largest_25_percent,85,27,64.99484009411765,65.4062592,4876.852118557202,0.3176470588235294
medium_to_large,85,13,28.626534400000004,29.57495115294117,855.3548426078569,0.15294117647058825
small_to_medium,85,0,18.90115463529411,20.51314145882353,386.29925014964084,0.0
smallest_25_percent,86,0,10.216424186046511,10.071456744186047,109.33574854551217,0.0
