size_group,labelled_instances,detected_instances,mean_width_pixels,mean_height_pixels,mean_area_pixels,recall
small_to_medium,88,15,22.859293090909087,25.995950545454537,601.906726725818,0.17045454545454544
medium_to_large,88,55,38.90135272727273,38.19889454545454,1473.2147573867987,0.625
smallest_25_percent,89,0,10.878061303370783,11.175124853932585,125.83668160258874,0.0
largest_25_percent,88,57,66.34970763636365,66.24681309090909,4774.713973604353,0.6477272727272727
