118,119,119,120,120,121,121,122,122,123,124,124
119,119,119,120,120,121,121,122,122,123,123,124
120,120,120,120,120,121,121,122,122,123,123,124
120,120,120,120,120,121,121,122,122,123,123,124
120,120,120,120,120,121,121,122,122,123,123,124
120,120,120,120,120,121,122,122,122,123,123,124
120,120,120,120,121,121,122,122,123,123,123,124
120,120,120,120,121,121,122,122,123,123,123,124
120,120,120,120,121,121,122,122,123,123,124,124
120,120,121,121,121,121,122,122,123,123,124,124
120,121,121,121,122,122,122,122,123,123,124,124
120,121,122,122,122,122,122,122,123,123,124,124
