polygon_id,area_m2,tile_instances,matched_instances,detected,maximum_matched_confidence,maximum_matched_iou,size_class
1,158984.98802276546,2,0,False,,,large
9,285990.7012423583,4,4,True,0.4080650508403778,0.5979242349575822,large
15,154672.81207917415,2,2,True,0.585636556148529,0.760133660568468,large
25,75811.68140294723,2,2,True,0.2530711591243744,0.5736827776992105,medium
28,258904.47380811558,2,2,True,0.5332955121994019,0.7995429181243923,large
36,180686.0747851961,4,4,True,0.4512070119380951,0.9432004435357672,large
45,462828.46938728925,1,0,False,,,large
52,164609.09746302784,4,4,True,0.6353931427001953,0.7472600382477644,large
57,688982.0371459043,2,2,True,0.5648841261863708,0.8247206381807111,large
65,115505.15619285524,2,2,True,0.7088672518730164,0.6559363658462223,medium
75,362676.7956643386,2,1,True,0.1139770522713661,0.5350544549132783,large
83,167750.78068400163,2,2,True,0.6587795615196228,0.7384579707900764,large
121,112988.0677543575,1,1,True,0.5569149851799011,0.6983000257086143,medium
153,825506.5206408117,2,2,True,0.2889338731765747,0.7908010920440859,large
154,118714.99559242856,1,1,True,0.6407589912414551,0.6221546457088635,medium
157,235634.61412296104,2,2,True,0.5148417949676514,0.6216786803914477,large
161,378962.9393933383,2,2,True,0.5815134644508362,0.8664610706873462,large
164,253466.60004394653,1,1,True,0.1358214020729065,0.5246045162362479,large
165,277032.28867497586,4,4,True,0.4508377313613891,0.7710870517084902,large
178,314581.149539794,2,2,True,0.3848222494125366,0.6467666625060604,large
185,814522.1075787101,2,0,False,,,large
188,54302.60715931128,2,0,False,,,medium
197,252328.4913032842,4,4,True,0.4567383527755737,0.5757887196954236,large
221,135679.914716891,2,2,True,0.6774715185165405,0.6093217248366807,large
241,146876.7347724074,2,2,True,0.5724681615829468,0.6402508953866798,large
247,56749.863475148246,1,0,False,,,medium
256,157716.58508544555,1,1,True,0.2620763480663299,0.558128838994536,large
261,278170.37251069164,1,1,True,0.2084040492773056,0.6740143246948781,large
271,1449322.7845833001,1,0,False,,,large
284,262798.5555225446,2,2,True,0.612123429775238,0.6868188212291408,large
300,180765.61953716635,2,2,True,0.3701773881912231,0.5917869091496584,large
304,107189.81990915786,2,2,True,0.6532663106918335,0.506078092310787,medium
306,229178.56527652728,1,1,True,0.5851126313209534,0.6925502870712839,large
328,234116.9108587731,2,2,True,0.5776057839393616,0.7202517379680199,large
356,67740.18582186656,2,0,False,,,medium
362,18021.49553318887,2,0,False,,,medium
384,52838.628208722585,1,0,False,,,medium
386,9921.420759598685,4,0,False,,,small
388,123606.40223094838,2,2,True,0.4714440107345581,0.5986799293505707,medium
396,168203.10553916977,2,0,False,,,large
399,13561.923988925619,1,0,False,,,small
409,46482.11995547833,2,0,False,,,medium
414,81976.94386879592,1,0,False,,,medium
474,78214.14784459214,1,1,True,0.2146243900060653,0.6864886931818027,medium
487,14527.09036962823,1,0,False,,,small
490,22199.523787486658,4,0,False,,,medium
494,62344.964058206126,1,0,False,,,medium
496,26529.576794551198,1,0,False,,,medium
507,64803.85131190704,1,0,False,,,medium
513,60473.644766463454,1,0,False,,,medium
526,96095.26191006697,1,0,False,,,medium
527,13615.193496924976,2,0,False,,,small
534,122733.54669005542,4,4,True,0.5629444122314453,0.6384512871495182,medium
542,9481.965495626553,1,0,False,,,small
548,11369.273596435154,2,0,False,,,small
549,14096.085042464936,2,0,False,,,small
550,33928.61806307524,1,1,True,0.103491336107254,0.7751150507664029,medium
552,4809.016994377382,1,0,False,,,small
557,49628.02272572987,2,0,False,,,medium
575,86987.32949098638,1,0,False,,,medium
592,146236.54469368432,1,0,False,,,large
609,32303.363352227047,1,0,False,,,medium
613,60193.21120571655,1,0,False,,,medium
616,160493.00407867227,2,0,False,,,large
626,92996.3902125538,2,2,True,0.3479059040546417,0.7698236301153025,medium
632,50060.70338776474,2,0,False,,,medium
637,12543.509956889877,2,0,False,,,small
642,5509.016994377382,1,0,False,,,small
646,70288.58847163118,2,0,False,,,medium
653,5509.016994377382,1,0,False,,,small
664,85730.83836167824,4,0,False,,,medium
667,51092.25504954303,1,0,False,,,medium
669,211492.11326959476,2,0,False,,,large
688,120514.27210513178,2,0,False,,,medium
692,354238.0185711269,2,0,False,,,large
704,4809.016994377382,1,0,False,,,small
715,36169.32104806138,1,0,False,,,medium
725,127486.96923299354,2,0,False,,,medium
729,11671.72936705498,1,0,False,,,small
759,113685.57999551148,2,2,True,0.2995464205741882,0.7438073092450539,medium
770,6223.106125343956,2,0,False,,,small
779,157108.19841968382,1,1,True,0.5593879222869873,0.817507411023457,large
798,186136.85268261522,4,2,True,0.1935794949531555,0.6820211306322521,large
799,48000.99896529167,1,1,True,0.1136204376816749,0.6487647228558303,medium
803,113037.4722086421,2,1,True,0.1111364066600799,0.5919055344527775,medium
809,100803.50005308313,2,0,False,,,medium
